Year,ExceedStateLevelDays1-hr,ExceedStateLevelDays8-hr,ExceedNationalLevelDays8-hr,MaxConcentration1-hr,MaxConcentration8-hr
2015,0,0,0,0.044 ,0.042 
2014,3,10,5,0.097 ,0.081 
2013,3,3,3,0.096 ,0.080
2012,3,8,4,0.102 ,0.090
2011,5,10,4,0.115 ,0.085 
2010,8,11,9,0.150 ,0.098 
2009,11,13,8,0.113 ,0.095 
2008,9,20,12,0.141 ,0.111 
2007,4,9,2,0.120 ,0.091 
2006,18,22,17,0.127 ,0.106 
2005,9,9,5,0.120 ,0.090 
2004,7,13,7,0.113 ,0.085 
2003,19,20,12,0.128 ,0.101 
2002,16,19,15,0.160 ,0.106 
2001,15,21,13,0.134 ,0.102 
2000,12,17,9,0.152 ,0.115 
1999,20,28,18,0.156 ,0.123 
1998,29,29,24,0.147 ,0.111 
1997,8,10,5,0.114 ,0.085 
1996,34,37,25,0.138 ,0.113 
